SPARSE: LIL_PROTECTED_0, ERROR_PR: 0.0000000000, ROWS: 10, COLS: 10, NZmax: 50
RMSE: 1.854724, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 21, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 18.525517, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 87084, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 87084, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 87084, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 87084, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 87084, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 8859222.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 174622, OUT_READ: 0, WRITE_NUM: 6, OUT_WRITE: 0
RMSE: 8859222.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 174066, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 8859222.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 174066, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 8859222.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 174066, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 8859222.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 174066, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 0.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 87084, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 8859222.000000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 174066, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 6115580.500000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 174066, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
RMSE: 6115580.500000, ERR_PR: 0.0000000000, NUM_ERROR: 0, READ_NUM: 174066, OUT_READ: 0, WRITE_NUM: 0, OUT_WRITE: 0
